,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_
0,2017Mahindra Scorpio S10 7 Seater,Mahindra,12.5 Lakh*,2017,Dealer,"1,10,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine2179 CC,Max Power120 bhp,Torque280Nm@ 1800-2800rpm,Wheel SizeN/A,Seats7,
1,2017Mahindra Thar CRDe ABS,Mahindra,8.5 Lakh*,2017,Dealer,"20,000 kms",First Owner,Diesel,Manual,Mileage16.55 kmpl,Engine2498 CC,Max Power105 bhp,Torque247Nm@ 1800-2000rpm,Wheel SizeR16,Seats6,
2,2017Mahindra TUV 300 mHAWK100 T8,Mahindra,7.95 Lakh*,2017,Dealer,"59,749 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
3,2018Mahindra Scorpio S3 9 Seater BSIV,Mahindra,9 Lakh*,2018,Dealer,"42,584 kms",First Owner,Diesel,Manual,Variant -  S3 9 Seater BSIV,Mileage15.4 kmpl,Engine2523 CC,Max Power75 bhp,Torque200Nm@ 1400-2200rpm,Wheel Size15,Seats7
4,2015Mahindra XUV500 W10 2WD,Mahindra,13 Lakh*,2015,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,
5,2011Mahindra Xylo E4 BS IV,Mahindra,3.5 Lakh*,2011,Dealer,"50,000 kms",First Owner,Diesel,Manual,Mileage14.0 kmpl,Engine2498 CC,Max Power112 bhp,Torque260 Nm at 1800-2200 rpm,Wheel SizeN/A,Seats7,
6,2017Mahindra Bolero 2011-2019 DI 4WD BSIII,Mahindra,7.15 Lakh*,2017,Individual,"1,00,000 kms",First Owner,Diesel,Manual,Mileage13.6 kmpl,Engine2523 CC,Max Power63 bhp,Torque180Nm@ 1440-1500rpm,Wheel SizeN/A,Seats8,
7,2018Mahindra Bolero 2011-2019 Special Edition,Mahindra,8.61 Lakh*,2018,Individual,"13,000 kms",First Owner,Diesel,Manual,Mileage15.96 kmpl,Engine2523 CC,Max Power62.1 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,
8,2019Mahindra Bolero Power Plus SLE,Mahindra,7.98 Lakh*,2019,Individual,"15,000 kms",First Owner,Diesel,Manual,Variant -  SLE,Mileage16.5 kmpl,Engine1493 CC,Max Power70 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7
9,2018Mahindra Bolero Power Plus ZLX,Mahindra,8.5 Lakh*,2018,Individual,"40,000 kms",First Owner,Diesel,Manual,Mileage16.5 kmpl,Engine1493 CC,Max Power70 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,
